Name,Country,Region,Winery,Rating,Price,Year,is_red_wine,is_white_wine,is_rose_wine
El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,10.95,2013,1,0,0
Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,8.9,2017,1,0,0
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,11.05,2018,1,0,0
Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,5.36,2018,1,0,0
Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,31.18,2015,1,0,0
Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,39.9,2014,1,0,0
Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,633.62,2017,1,0,0
Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,8.29,2014,1,0,0
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,48.0,2017,1,0,0
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,19.9,2015,1,0,0
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,9.5,2015,1,0,0
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,7.36,2019,1,0,0
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,16.8,2017,1,0,0
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,19.9,2017,1,0,0
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,48.64,2011,1,0,0
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,11.35,2015,1,0,0
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,119.0,2007,1,0,0
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,53.61,2016,1,0,0
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,16.75,2015,1,0,0
Margaux 2010,France,Margaux,Château Labégorce,4.0,40.95,2010,1,0,0
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,11.49,2015,1,0,0
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,38.8,2015,1,0,0
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,7.95,2018,1,0,0
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,4.75,2018,1,0,0
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,35.97,2013,1,0,0
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,9.5,2018,1,0,0
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,23.5,2016,1,0,0
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,27.78,2016,1,0,0
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,39.95,2005,1,0,0
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,6.75,2017,1,0,0
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,18.25,2017,1,0,0
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,10.6,2017,1,0,0
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,23.09,2015,1,0,0
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,17.95,2017,1,0,0
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,7.5,2015,1,0,0
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,12.48,2014,1,0,0
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,229.0,2017,1,0,0
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,6.95,2018,1,0,0
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,13.95,2013,1,0,0
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,7.9,2018,1,0,0
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,33.05,2015,1,0,0
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,16.96,2019,1,0,0
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,13.15,2017,1,0,0
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,17.36,2015,1,0,0
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,17.59,2015,1,0,0
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,49.09,2017,1,0,0
Zinfandel 2016,United States,California,Geyser Peak,3.7,10.9,2016,1,0,0
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,15.5,2017,1,0,0
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,26.5,2015,1,0,0
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,8.6,2016,1,0,0
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,10.66,2017,1,0,0
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,17.24,2016,1,0,0
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,38.5,2017,1,0,0
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,34.12,2017,1,0,0
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,14.65,2011,1,0,0
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,14.57,2013,1,0,0
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,26.18,2016,1,0,0
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,3.95,2016,1,0,0
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,26.9,2014,1,0,0
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,16.83,2011,1,0,0
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,39.9,2014,1,0,0
Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,39.9,2015,1,0,0
Crianza 2016,Spain,Rioja,Berceo,3.6,9.9,2016,1,0,0
Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,46.9,2013,1,0,0
Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,6.15,2018,1,0,0
Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,6.5,2018,1,0,0
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,29.67,2015,1,0,0
Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,7.79,2018,1,0,0
Pomerol 1999,France,Pomerol,Château Nénin,4.1,240.0,1999,1,0,0
Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,38.69,2016,1,0,0
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,59.95,2012,1,0,0
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,193.02,2002,1,0,0
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,75.07,2017,1,0,0
Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,15.9,2008,1,0,0
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,66.29,2015,1,0,0
François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,29.15,2016,1,0,0
Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,10.99,2018,1,0,0
Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,12.62,2017,1,0,0
Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,19.4,2014,1,0,0
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,120.01,2016,1,0,0
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,199.9,2013,1,0,0
Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,59.54,2006,1,0,0
Médoc 2012,France,Médoc,Château Potensac,3.8,39.69,2012,1,0,0
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,59.9,2014,1,0,0
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,9.75,2017,1,0,0
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,87.24,2011,1,0,0
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,14.56,2017,1,0,0
Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,161.1,2007,1,0,0
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,14.9,2015,1,0,0
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,69.0,2012,1,0,0
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,14.43,2018,1,0,0
Chianti 2017,Italy,Chianti,Sammontana,3.7,8.9,2017,1,0,0
Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,6.99,2015,1,0,0
Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,33.2,2017,1,0,0
Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,21.91,2009,1,0,0
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,16.9,2016,1,0,0
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,69.0,2016,1,0,0
Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,8.2,2016,1,0,0
Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,79.95,2017,1,0,0
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,26.23,2015,1,0,0
Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,8.28,2015,1,0,0
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,32.0,2016,1,0,0
Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,29.9,2015,1,0,0
Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,19.95,2012,1,0,0
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,26.95,2012,1,0,0
Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,14.75,2015,1,0,0
Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,11.95,2015,1,0,0
Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,5.65,2016,1,0,0
Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,19.5,2015,1,0,0
No Name 2014,Italy,Piemonte,Borgogno,4.0,34.32,2014,1,0,0
Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,10.85,2011,1,0,0
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,45.6,2014,1,0,0
Almiréz 2016,Spain,Toro,Teso La Monja,4.0,14.95,2016,1,0,0
Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,11.7,2010,1,0,0
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,16.34,2016,1,0,0
Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,10.45,2016,1,0,0
Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,18.49,2015,1,0,0
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,330.45,2016,1,0,0
Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,12.49,2013,1,0,0
Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,43.16,2015,1,0,0
Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,15.6,2016,1,0,0
Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,21.9,2012,1,0,0
Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,15.95,2015,1,0,0
Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,6.15,2018,1,0,0
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,96.9,2006,1,0,0
Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,5.33,2018,1,0,0
Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,19.01,2016,1,0,0
Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,12.9,2014,1,0,0
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,25.75,2013,1,0,0
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,32.75,2014,1,0,0
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,23.94,2017,1,0,0
Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,11.25,2018,1,0,0
Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,9.95,2018,1,0,0
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,16.47,2018,1,0,0
Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,24.15,2017,1,0,0
Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,6.9,2017,1,0,0
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,43.61,2016,1,0,0
Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,39.58,2015,1,0,0
Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,6.95,2017,1,0,0
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,14.9,2016,1,0,0
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,35.5,2013,1,0,0
The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,16.48,2017,1,0,0
Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,8.68,2017,1,0,0
Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,10.21,2015,1,0,0
Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,8.95,2018,1,0,0
Tinto 2018,Portugal,Lisboa,Porta 6,3.7,9.12,2018,1,0,0
Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,14.38,0,1,0,0
Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,10.95,2014,1,0,0
Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,6.95,2018,1,0,0
Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,12.4,2015,1,0,0
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4.0,86.76,2017,1,0,0
Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4.0,17.9,2015,1,0,0
Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,8.5,2016,1,0,0
Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,11.95,2014,1,0,0
Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,7.7,2018,1,0,0
Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,39.95,2013,1,0,0
B 2017,Spain,Ribera del Duero,Baden Numen,3.8,11.21,2017,1,0,0
Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,22.5,2017,1,0,0
Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,5.95,2018,1,0,0
Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,16.9,2016,1,0,0
Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4.0,32.0,2016,1,0,0
Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,17.79,2016,1,0,0
Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,15.75,2014,1,0,0
Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,19.95,2014,1,0,0
Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,26.7,2016,1,0,0
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,45.0,2015,1,0,0
Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,21.4,2015,1,0,0
El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,7.75,2014,1,0,0
Hermitage La Chapelle Rouge 2016,France,Hermitage,Paul Jaboulet Aîné,4.3,249.95,2016,1,0,0
Mas Oliveras Tempranillo 2018,Spain,Catalunya,Ramón Roqueta,3.2,6.5,2018,1,0,0
Pannobile 2015,Austria,Burgenland,Pittnauer,3.9,22.13,2015,1,0,0
Tempus 2018,Italy,Veneto,Stefano Accordini,3.8,10.42,2018,1,0,0
Le Clos des Fées (Hervé Bizeul) 2013,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,52.53,2013,1,0,0
Tío Martín Crianza 2016,Spain,Rioja,D. Mateos,3.8,15.69,2016,1,0,0
Vigna Del Mandorlo Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,11.5,2017,1,0,0
Barolo Bussia 2015,Italy,Barolo,Prunotto,4.1,69.0,2015,1,0,0
Tinto 2015,Spain,Rioja,Gran Familia,3.5,5.8,2015,1,0,0
Finca Cuesta Clara Raro Reserva 2015,Spain,Rioja,Campillo,4.2,39.99,2015,1,0,0
Fronsac 2005,France,Fronsac,Château la Vieille Cure,4.0,39.95,2005,1,0,0
Ventoux 2016,France,Ventoux,Xavier Vignon,3.6,8.2,2016,1,0,0
Hussonet Cabernet Sauvignon Gran Reserva 2015,Chile,Maipo Valley,Haras de Pirque,3.7,15.95,2015,1,0,0
Salice Salentino Riserva 2016,Italy,Salice Salentino,Marchese di Borgosole,3.9,8.49,2016,1,0,0
Chianti Classico 2016,Italy,Chianti Classico,Isole e Olena,3.9,20.86,2016,1,0,0
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,13.48,2016,1,0,0
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,36.63,2014,1,0,0
Cabernet Sauvignon 2015,United States,Columbia Valley,Columbia Winery,3.8,17.75,2015,1,0,0
Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Barton,4.4,133.06,2009,1,0,0
Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,169.95,2005,1,0,0
Cabernet Sauvignon 2013,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,8.65,2013,1,0,0
Malbec 2017,Argentina,Mendoza,Catena,4.1,13.5,2017,1,0,0
Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Lafon-Rochet,4.2,75.98,2009,1,0,0
Amarone della Valpolicella Classico 2014,Italy,Amarone della Valpolicella Classico,Bolla,4.1,28.99,2014,1,0,0
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,130.97,2014,1,0,0
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4.0,86.76,2017,1,0,0
Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château d'Armailhac,3.9,52.64,2017,1,0,0
Figure Libre Freestyle Rouge 2018,France,Pays d'Oc,Gayda,3.7,11.45,2018,1,0,0
Pinot Noir 2018,France,Pays d'Oc,La Forge Estate,3.6,7.27,2018,1,0,0
Tinto 2018,Spain,Alicante,Vergel,3.6,7.35,2018,1,0,0
Les Coteaux Cabernet Sauvignon 2015,South Africa,Wellington,Mont du Toit,3.8,11.5,2015,1,0,0
Mayro Montepulciano d'Abruzzo 2015,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,7.75,2015,1,0,0
Barbera d'Alba 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,17.0,2018,1,0,0
Blauer Spätburgunder 2015,Germany,Baden,Ziereisen,3.7,11.31,2015,1,0,0
Promontory 2013,United States,Napa Valley,Promontory,4.7,721.34,2013,1,0,0
Tempranillo - Merlot 2015,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,13.95,2015,1,0,0
Sankt Laurent 2017,Austria,Burgenland,Umathum,3.6,13.2,2017,1,0,0
Gigondas 2017,France,Gigondas,M. Chapoutier,3.9,24.8,2017,1,0,0
Driopi Classic Agiorgitiko Nemea 2017,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,11.5,2017,1,0,0
Magna Malbec 2018,Argentina,San Juan,Callia,3.5,8.95,2018,1,0,0
Nero 2010,Italy,Salento,Conti Zecca,4.0,25.12,2010,1,0,0
Salice Salentino 2017,Italy,Salice Salentino,Epicuro,3.6,6.25,2017,1,0,0
Valpolicella Superiore 2014,Italy,Valpolicella,Rocca Sveva,3.7,15.84,2014,1,0,0
Gevrey-Chambertin 2015,France,Gevrey-Chambertin,Chanson,4.1,50.9,2015,1,0,0
